option_strategy,sigma,strike_base,window_size_ratio,expire_period,Close price,Strike,Option gain,Option gain est,Loss percent,Loss std,Average loss,Loss expect,Profit daily %
CALL_ONLY,0.800,CLOSE_PRICE,2,5,172.620,177.059,0.000,0.000,13.333,211.082,265.046,35.339,-0.041
CALL_ONLY,0.800,CLOSE_PRICE,2,30,172.620,181.349,0.000,0.000,33.333,402.227,502.658,167.553,-0.032
CALL_ONLY,0.800,CLOSE_PRICE,5,5,172.620,175.777,0.000,0.000,10.000,200.978,242.650,24.265,-0.028
CALL_ONLY,0.800,CLOSE_PRICE,5,30,172.620,181.640,0.000,0.000,20.000,503.088,553.594,110.719,-0.021
CALL_ONLY,0.800,CLOSE_PRICE,8,5,172.620,175.868,0.000,0.000,10.000,199.533,246.385,24.638,-0.029
CALL_ONLY,0.800,CLOSE_PRICE,8,30,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CALL_ONLY,0.800,MOV_AVG,2,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CALL_ONLY,0.800,MOV_AVG,2,30,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CALL_ONLY,0.800,MOV_AVG,5,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CALL_ONLY,0.800,MOV_AVG,5,30,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CALL_ONLY,0.800,MOV_AVG,8,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CALL_ONLY,0.800,MOV_AVG,8,30,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CALL_ONLY,0.900,CLOSE_PRICE,2,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CALL_ONLY,0.900,CLOSE_PRICE,2,30,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CALL_ONLY,0.900,CLOSE_PRICE,5,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CALL_ONLY,0.900,CLOSE_PRICE,5,30,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CALL_ONLY,0.900,CLOSE_PRICE,8,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CALL_ONLY,0.900,CLOSE_PRICE,8,30,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CALL_ONLY,0.900,MOV_AVG,2,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CALL_ONLY,0.900,MOV_AVG,2,30,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CALL_ONLY,0.900,MOV_AVG,5,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CALL_ONLY,0.900,MOV_AVG,5,30,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CALL_ONLY,0.900,MOV_AVG,8,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CALL_ONLY,0.900,MOV_AVG,8,30,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CALL_ONLY,1.000,CLOSE_PRICE,2,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CALL_ONLY,1.000,CLOSE_PRICE,2,30,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CALL_ONLY,1.000,CLOSE_PRICE,5,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CALL_ONLY,1.000,CLOSE_PRICE,5,30,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CALL_ONLY,1.000,CLOSE_PRICE,8,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CALL_ONLY,1.000,CLOSE_PRICE,8,30,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CALL_ONLY,1.000,MOV_AVG,2,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CALL_ONLY,1.000,MOV_AVG,2,30,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CALL_ONLY,1.000,MOV_AVG,5,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CALL_ONLY,1.000,MOV_AVG,5,30,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CALL_ONLY,1.000,MOV_AVG,8,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CALL_ONLY,1.000,MOV_AVG,8,30,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CALL_ONLY,1.100,CLOSE_PRICE,2,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CALL_ONLY,1.100,CLOSE_PRICE,2,30,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CALL_ONLY,1.100,CLOSE_PRICE,5,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CALL_ONLY,1.100,CLOSE_PRICE,5,30,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CALL_ONLY,1.100,CLOSE_PRICE,8,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CALL_ONLY,1.100,CLOSE_PRICE,8,30,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CALL_ONLY,1.100,MOV_AVG,2,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CALL_ONLY,1.100,MOV_AVG,2,30,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CALL_ONLY,1.100,MOV_AVG,5,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CALL_ONLY,1.100,MOV_AVG,5,30,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CALL_ONLY,1.100,MOV_AVG,8,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
