option_strategy,sigma,strike_base,window_size_ratio,expire_period,Option gain,Loss percent,Loss std,Average loss,Option gain est,Loss expect,Profit
CALL_ONLY,0.500,CLOSE_PRICE,5,5,0.000,37.222,1102.700,998.872,0.000,371.802,-371.802
CALL_ONLY,0.500,CLOSE_PRICE,5,30,0.000,56.667,3178.311,3364.079,0.000,1906.311,-1906.311
CALL_ONLY,0.500,CLOSE_PRICE,6,5,0.000,33.333,1097.563,1000.122,0.000,333.374,-333.374
CALL_ONLY,0.500,CLOSE_PRICE,6,30,0.000,53.333,3139.621,3438.769,0.000,1834.010,-1834.010
CALL_ONLY,0.500,CLOSE_PRICE,7,5,0.000,0.000,0.000,0.000,,,
CALL_ONLY,0.500,CLOSE_PRICE,7,30,0.000,0.000,0.000,0.000,,,
CALL_ONLY,0.500,CLOSE_PRICE,8,5,0.000,0.000,0.000,0.000,,,
CALL_ONLY,0.500,CLOSE_PRICE,8,30,0.000,0.000,0.000,0.000,,,
CALL_ONLY,0.500,CLOSE_PRICE,9,5,0.000,0.000,0.000,0.000,,,
CALL_ONLY,0.500,CLOSE_PRICE,9,30,0.000,0.000,0.000,0.000,,,
CALL_ONLY,0.500,MOV_AVG,5,5,0.000,0.000,0.000,0.000,,,
CALL_ONLY,0.500,MOV_AVG,5,30,0.000,0.000,0.000,0.000,,,
CALL_ONLY,0.500,MOV_AVG,6,5,0.000,0.000,0.000,0.000,,,
CALL_ONLY,0.500,MOV_AVG,6,30,0.000,0.000,0.000,0.000,,,
CALL_ONLY,0.500,MOV_AVG,7,5,0.000,0.000,0.000,0.000,,,
CALL_ONLY,0.500,MOV_AVG,7,30,0.000,0.000,0.000,0.000,,,
CALL_ONLY,0.500,MOV_AVG,8,5,0.000,0.000,0.000,0.000,,,
CALL_ONLY,0.500,MOV_AVG,8,30,0.000,0.000,0.000,0.000,,,
CALL_ONLY,0.500,MOV_AVG,9,5,0.000,0.000,0.000,0.000,,,
CALL_ONLY,0.500,MOV_AVG,9,30,0.000,0.000,0.000,0.000,,,
CALL_ONLY,1.000,CLOSE_PRICE,5,5,0.000,0.000,0.000,0.000,,,
CALL_ONLY,1.000,CLOSE_PRICE,5,30,0.000,0.000,0.000,0.000,,,
CALL_ONLY,1.000,CLOSE_PRICE,6,5,0.000,0.000,0.000,0.000,,,
CALL_ONLY,1.000,CLOSE_PRICE,6,30,0.000,0.000,0.000,0.000,,,
CALL_ONLY,1.000,CLOSE_PRICE,7,5,0.000,0.000,0.000,0.000,,,
CALL_ONLY,1.000,CLOSE_PRICE,7,30,0.000,0.000,0.000,0.000,,,
CALL_ONLY,1.000,CLOSE_PRICE,8,5,0.000,0.000,0.000,0.000,,,
CALL_ONLY,1.000,CLOSE_PRICE,8,30,0.000,0.000,0.000,0.000,,,
CALL_ONLY,1.000,CLOSE_PRICE,9,5,0.000,0.000,0.000,0.000,,,
CALL_ONLY,1.000,CLOSE_PRICE,9,30,0.000,0.000,0.000,0.000,,,
CALL_ONLY,1.000,MOV_AVG,5,5,0.000,0.000,0.000,0.000,,,
CALL_ONLY,1.000,MOV_AVG,5,30,0.000,0.000,0.000,0.000,,,
CALL_ONLY,1.000,MOV_AVG,6,5,0.000,0.000,0.000,0.000,,,
CALL_ONLY,1.000,MOV_AVG,6,30,0.000,0.000,0.000,0.000,,,
CALL_ONLY,1.000,MOV_AVG,7,5,0.000,0.000,0.000,0.000,,,
CALL_ONLY,1.000,MOV_AVG,7,30,0.000,0.000,0.000,0.000,,,
CALL_ONLY,1.000,MOV_AVG,8,5,0.000,0.000,0.000,0.000,,,
CALL_ONLY,1.000,MOV_AVG,8,30,0.000,0.000,0.000,0.000,,,
CALL_ONLY,1.000,MOV_AVG,9,5,0.000,0.000,0.000,0.000,,,
CALL_ONLY,1.000,MOV_AVG,9,30,0.000,0.000,0.000,0.000,,,
CALL_ONLY,1.500,CLOSE_PRICE,5,5,0.000,0.000,0.000,0.000,,,
CALL_ONLY,1.500,CLOSE_PRICE,5,30,0.000,0.000,0.000,0.000,,,
CALL_ONLY,1.500,CLOSE_PRICE,6,5,0.000,0.000,0.000,0.000,,,
CALL_ONLY,1.500,CLOSE_PRICE,6,30,0.000,0.000,0.000,0.000,,,
CALL_ONLY,1.500,CLOSE_PRICE,7,5,0.000,0.000,0.000,0.000,,,
CALL_ONLY,1.500,CLOSE_PRICE,7,30,0.000,0.000,0.000,0.000,,,
CALL_ONLY,1.500,CLOSE_PRICE,8,5,0.000,0.000,0.000,0.000,,,
CALL_ONLY,1.500,CLOSE_PRICE,8,30,0.000,0.000,0.000,0.000,,,
CALL_ONLY,1.500,CLOSE_PRICE,9,5,0.000,0.000,0.000,0.000,,,
CALL_ONLY,1.500,CLOSE_PRICE,9,30,0.000,0.000,0.000,0.000,,,
CALL_ONLY,1.500,MOV_AVG,5,5,0.000,0.000,0.000,0.000,,,
CALL_ONLY,1.500,MOV_AVG,5,30,0.000,0.000,0.000,0.000,,,
CALL_ONLY,1.500,MOV_AVG,6,5,0.000,0.000,0.000,0.000,,,
CALL_ONLY,1.500,MOV_AVG,6,30,0.000,0.000,0.000,0.000,,,
CALL_ONLY,1.500,MOV_AVG,7,5,0.000,0.000,0.000,0.000,,,
CALL_ONLY,1.500,MOV_AVG,7,30,0.000,0.000,0.000,0.000,,,
CALL_ONLY,1.500,MOV_AVG,8,5,0.000,0.000,0.000,0.000,,,
CALL_ONLY,1.500,MOV_AVG,8,30,0.000,0.000,0.000,0.000,,,
CALL_ONLY,1.500,MOV_AVG,9,5,0.000,0.000,0.000,0.000,,,
CALL_ONLY,1.500,MOV_AVG,9,30,0.000,0.000,0.000,0.000,,,
PUT_ONLY,0.500,CLOSE_PRICE,5,5,0.000,0.000,0.000,0.000,,,
PUT_ONLY,0.500,CLOSE_PRICE,5,30,0.000,0.000,0.000,0.000,,,
PUT_ONLY,0.500,CLOSE_PRICE,6,5,0.000,0.000,0.000,0.000,,,
PUT_ONLY,0.500,CLOSE_PRICE,6,30,0.000,0.000,0.000,0.000,,,
PUT_ONLY,0.500,CLOSE_PRICE,7,5,0.000,0.000,0.000,0.000,,,
PUT_ONLY,0.500,CLOSE_PRICE,7,30,0.000,0.000,0.000,0.000,,,
PUT_ONLY,0.500,CLOSE_PRICE,8,5,0.000,0.000,0.000,0.000,,,
PUT_ONLY,0.500,CLOSE_PRICE,8,30,0.000,0.000,0.000,0.000,,,
PUT_ONLY,0.500,CLOSE_PRICE,9,5,0.000,0.000,0.000,0.000,,,
PUT_ONLY,0.500,CLOSE_PRICE,9,30,0.000,0.000,0.000,0.000,,,
PUT_ONLY,0.500,MOV_AVG,5,5,0.000,0.000,0.000,0.000,,,
PUT_ONLY,0.500,MOV_AVG,5,30,0.000,0.000,0.000,0.000,,,
PUT_ONLY,0.500,MOV_AVG,6,5,0.000,0.000,0.000,0.000,,,
PUT_ONLY,0.500,MOV_AVG,6,30,0.000,0.000,0.000,0.000,,,
PUT_ONLY,0.500,MOV_AVG,7,5,0.000,0.000,0.000,0.000,,,
PUT_ONLY,0.500,MOV_AVG,7,30,0.000,0.000,0.000,0.000,,,
PUT_ONLY,0.500,MOV_AVG,8,5,0.000,0.000,0.000,0.000,,,
PUT_ONLY,0.500,MOV_AVG,8,30,0.000,0.000,0.000,0.000,,,
PUT_ONLY,0.500,MOV_AVG,9,5,0.000,0.000,0.000,0.000,,,
PUT_ONLY,0.500,MOV_AVG,9,30,0.000,0.000,0.000,0.000,,,
PUT_ONLY,1.000,CLOSE_PRICE,5,5,0.000,0.000,0.000,0.000,,,
PUT_ONLY,1.000,CLOSE_PRICE,5,30,0.000,0.000,0.000,0.000,,,
PUT_ONLY,1.000,CLOSE_PRICE,6,5,0.000,0.000,0.000,0.000,,,
PUT_ONLY,1.000,CLOSE_PRICE,6,30,0.000,0.000,0.000,0.000,,,
PUT_ONLY,1.000,CLOSE_PRICE,7,5,0.000,0.000,0.000,0.000,,,
PUT_ONLY,1.000,CLOSE_PRICE,7,30,0.000,0.000,0.000,0.000,,,
PUT_ONLY,1.000,CLOSE_PRICE,8,5,0.000,0.000,0.000,0.000,,,
PUT_ONLY,1.000,CLOSE_PRICE,8,30,0.000,0.000,0.000,0.000,,,
PUT_ONLY,1.000,CLOSE_PRICE,9,5,0.000,0.000,0.000,0.000,,,
PUT_ONLY,1.000,CLOSE_PRICE,9,30,0.000,0.000,0.000,0.000,,,
PUT_ONLY,1.000,MOV_AVG,5,5,0.000,0.000,0.000,0.000,,,
PUT_ONLY,1.000,MOV_AVG,5,30,0.000,0.000,0.000,0.000,,,
PUT_ONLY,1.000,MOV_AVG,6,5,0.000,0.000,0.000,0.000,,,
