option_strategy,sigma,strike_base,window_size_ratio,expire_period,Close price,Strike,Option gain,Option gain est,Loss percent,Loss std,Average loss,Loss expect,Profit daily %
CALL_ONLY,0.500,CLOSE_PRICE,2,5,163.570,167.489,437.500,-4.132,52.778,1086.930,1006.818,531.376,-0.115
CALL_ONLY,0.500,CLOSE_PRICE,2,30,163.570,177.137,168.000,-7.607,65.000,3224.447,3215.778,2090.256,-0.392
CALL_ONLY,0.500,CLOSE_PRICE,5,5,163.570,169.720,347.500,-2.681,37.222,1102.700,998.872,371.802,-0.030
CALL_ONLY,0.500,CLOSE_PRICE,5,30,163.570,177.425,168.000,-10.667,56.667,3178.311,3364.079,1906.311,-0.354
CALL_ONLY,0.500,CLOSE_PRICE,8,5,163.570,169.524,347.500,-0.980,28.889,1087.561,984.067,284.286,0.077
CALL_ONLY,0.500,CLOSE_PRICE,8,30,163.570,180.990,103.000,-5.021,47.222,3175.806,3667.791,1732.012,-0.332
CALL_ONLY,0.500,MOV_AVG,2,5,163.570,178.946,131.000,-4.840,54.444,1525.286,1383.604,753.296,-0.761
CALL_ONLY,0.500,MOV_AVG,2,30,163.570,219.877,8.000,-98.057,73.889,3830.942,4147.136,3064.272,-0.623
CALL_ONLY,0.500,MOV_AVG,5,5,163.570,193.698,34.000,-49.742,48.333,2000.562,1866.957,902.363,-1.062
CALL_ONLY,0.500,MOV_AVG,5,30,163.570,240.627,3.500,-99.959,80.556,4645.256,6064.435,4885.240,-0.995
CALL_ONLY,0.500,MOV_AVG,8,5,163.570,195.514,28.000,-54.522,40.556,2239.470,2190.326,888.299,-1.052
CALL_ONLY,0.500,MOV_AVG,8,30,163.570,242.006,3.500,-99.968,88.333,4820.831,7066.245,6241.850,-1.271
CALL_ONLY,0.700,CLOSE_PRICE,2,5,163.570,169.057,347.500,3.821,40.000,1051.874,980.102,392.041,-0.054
CALL_ONLY,0.700,CLOSE_PRICE,2,30,163.570,182.564,81.500,-1.449,58.333,3198.473,3182.274,1856.327,-0.362
CALL_ONLY,0.700,CLOSE_PRICE,5,5,163.570,172.180,274.500,-3.803,27.778,1078.021,994.090,276.136,-0.002
CALL_ONLY,0.700,CLOSE_PRICE,5,30,163.570,182.967,81.500,-6.059,43.889,3125.842,3336.211,1464.226,-0.282
CALL_ONLY,0.700,CLOSE_PRICE,8,5,163.570,171.905,274.500,-0.789,17.222,1063.296,942.492,162.318,0.137
CALL_ONLY,0.700,CLOSE_PRICE,8,30,163.570,187.959,52.000,-25.414,29.444,2988.052,3702.239,1090.104,-0.212
CALL_ONLY,0.700,MOV_AVG,2,5,163.570,180.514,103.000,1.055,53.333,1459.988,1300.147,693.411,-0.722
CALL_ONLY,0.700,MOV_AVG,2,30,163.570,225.304,5.500,-99.089,67.222,3772.782,3928.535,2640.849,-0.537
CALL_ONLY,0.700,MOV_AVG,5,5,163.570,196.158,28.000,-58.374,42.222,1915.013,1737.064,733.427,-0.863
CALL_ONLY,0.700,MOV_AVG,5,30,163.570,246.169,3.500,-99.989,78.889,4536.645,5673.282,4475.589,-0.911
CALL_ONLY,0.700,MOV_AVG,8,5,163.570,197.896,23.500,-62.793,33.889,2120.356,1997.723,677.006,-0.799
CALL_ONLY,0.700,MOV_AVG,8,30,163.570,248.975,3.500,-99.995,88.333,4806.209,6252.063,5522.656,-1.125
CALL_ONLY,0.900,CLOSE_PRICE,2,5,163.570,170.624,274.500,13.275,36.667,1018.973,945.498,346.682,-0.088
CALL_ONLY,0.900,CLOSE_PRICE,2,30,163.570,187.991,52.000,-25.810,53.333,3175.270,3080.800,1643.093,-0.324
CALL_ONLY,0.900,CLOSE_PRICE,5,5,163.570,174.640,215.500,-5.080,22.222,1050.680,961.147,213.588,0.002
CALL_ONLY,0.900,CLOSE_PRICE,5,30,163.570,188.509,52.000,-31.037,30.000,3063.763,3307.500,992.250,-0.192
CALL_ONLY,0.900,CLOSE_PRICE,8,5,163.570,174.287,215.500,-1.219,13.333,1038.104,918.339,122.445,0.114
CALL_ONLY,0.900,CLOSE_PRICE,8,30,163.570,194.927,34.000,-59.561,17.222,2778.560,3585.636,617.526,-0.119
CALL_ONLY,0.900,MOV_AVG,2,5,163.570,182.081,103.000,-17.650,52.222,1397.592,1204.787,629.166,-0.643
